model,level,어체,parse_fail,acc_all,acc_parsed_only,refusal
exaone3.5,1,해라체,0.0173,0.8823,0.8979,0.0007
exaone3.5,2,해체,0.0133,0.8827,0.8946,0.0007
exaone3.5,3,하게체,0.0417,0.8607,0.8981,0.001
exaone3.5,4,하오체,0.0337,0.8653,0.8955,0.0007
exaone3.5,5,해요체,0.0253,0.8777,0.9005,0.0003
exaone3.5,6,하십시오체,0.0237,0.8767,0.8979,0.0003
llama3.1,1,해라체,0.0017,0.8627,0.8641,0.0
llama3.1,2,해체,0.0007,0.8457,0.8462,0.0
llama3.1,3,하게체,0.0023,0.853,0.855,0.0
llama3.1,4,하오체,0.0013,0.856,0.8571,0.0
llama3.1,5,해요체,0.002,0.8593,0.8611,0.0
llama3.1,6,하십시오체,0.001,0.8603,0.8612,0.0
qwen3,1,해라체,0.0,0.8577,0.8577,0.0
qwen3,2,해체,0.0003,0.852,0.8523,0.0
qwen3,3,하게체,0.0153,0.853,0.8663,0.0007
qwen3,4,하오체,0.0,0.8557,0.8557,0.0
qwen3,5,해요체,0.0,0.851,0.851,0.0
qwen3,6,하십시오체,0.0,0.856,0.856,0.0
